question,q_len_chars,q_len_words,q_wh_type
In which year did Karl Marx publish the first volume of Das Kapital?,68,13,which
In what year did the first Rugby World Cup take place?,54,11,year
What was the attendance at the 2002 World Cup Final?,52,10,what
"In which year did Emmerdale Farm become Emmerdale? 1989, 1992 or 1995?",70,12,which
In which year did J. R. R. Tolkein die?,39,9,which
In what year were the first modern Olympic Games held?,54,10,year
In what year did Steve Redgrave win his first gold medal at the Olympics?,73,14,year
In which year was the Charity Shield first contested?,53,9,which
"Considered as the oldest zoo in the world, in what year did the Vienna Zoo first open to visitors?",98,19,year
In which year was the microscope invented?,42,7,which
"How many barrels of gunpowder were discovered in the cellars of Westminster Hall as part of Guy Fawkes' gunpowder plot? 36, 96 or 266?",134,24,quantity
In what year did the Gunpowder Plot take place?,47,9,year
In which year was the penalty kick first introduced into the game of football?,78,14,which
"In Channel 4's 1999 poll to find the 100 Greatest Movie Stars, in what position was Michael Caine?",98,18,what
How many calories are in a pint of Guinness?,44,9,quantity
In which year was Prince William born?,38,7,which
"As at April 2004, how many different Prime Ministers has the Queen given audience to?",85,15,quantity
"At the time of her golden jubilee, how many ships had the Queen launched?",73,14,quantity
In what year was the Mixed Doubles first contested in Wimbledon?,64,11,year
What was the attendance at the 2003 Rugby World Cup final when England beat Australia?,86,15,when
"In the song The Twelve Days Of Christmas, how many ladies dancing are given as gifts in total?",94,18,quantity
In what year was the Big Mac introduced into McDonalds?,55,10,year
How many kilobytes are there in a megabyte?,43,8,quantity
How many minutes does it take the Hubble Space Telescope to complete one orbit around the earth?,96,17,quantity
"After the 2005 Eurovision Song Contest, how many times had the United Kingdom finished second?",94,15,quantity
In which year was the word homosexual first used?,49,9,which
In which year were 3 points for a win first introduced to the group stages of the World Cup finals?,99,20,which
"How many pairs of ribs does a human have? 8, 10 or 12?",54,13,quantity
How many golden stars appear in the circle on the blue background of the flag of the European Union?,100,19,quantity
How many times has the flag known as the stars and stripes been changed since it was first adopted by 13 American states?,121,23,quantity
"The first set of rules for the sport of Boxing, the London Prize Ring rules, were introduced in which year?",107,20,which
"Miss Saigon premiered in Drury Lane, London in 1989, but how many performances were put on there before it closed?",114,20,quantity
"How old is the prostitute, played by Jodie Foster in Taxi Driver, supposed to be?",81,15,age
"BBC 2 started its programming on 20 April, in which year? 1954, 1959 or 1964?",77,15,which
In what year was the first Six Nations Championship played?,59,10,year
In what year did the first Red Nose Day take place?,51,11,year
"How many of Muhammad Ali's 61 professional boxing fights did he win? 50, 56 or 60?",82,16,quantity
"In 2006 there were approximately how many pubs in the UK? 47,500, 57,500 or 67,500?",83,15,quantity
How many symphonies did Mozart compose?,39,6,quantity
"In music, the B-52s were formed in which year? 1976, 1980 or 1984?",66,13,which
Guy Fawkes Night on November 5th celebrates the discovery of the plot to blow up the Houses of Parliament?  In what year did this take place?,141,26,year
How many pairs of chromosomes are there in the human body?,58,11,quantity
In which year was the film Casablanca premiered?,48,8,which
How many ounces are there in a pound?,37,8,quantity
How many yards are there in a mile?,35,8,quantity
How many yards are there in a chain?,36,8,quantity
How many sheets of paper are there in a quire?,46,10,quantity
How many sheets of paper are there in one ream?,47,10,quantity
"How many metres are there in a mile? 1609, 1659 or 1709?",56,12,quantity
In what year was the winter Olympics held for the first time so as not to coincide with the summer Olympics?,108,21,year
What is the total number of grass courts at Wimbledon?,54,10,what
In which year was the German battleship The Bismarck sunk by the Royal Navy?,76,14,which
"In which year was the Six Day War fought between Israel, Egypt, Syria and Jordan.",81,15,which
How many episodes of Fawlty Towers were made?.,46,8,quantity
How many white squares are there on a chess board?,50,10,quantity
In which year did The Beatles officially split?,47,8,which
How many pieces of paper make up a Quire.,41,9,quantity
How many Quires make up a Ream,30,7,quantity
How many is there in a bakers dozen?,36,8,quantity
In which year did a terrorist group kill eleven hostages at the Olympic Games?,78,14,which
What RAF squardron number was nicknamed The Dambusters?,55,8,what
In which year was The Highway Code first published.,51,9,which
How many points of the compass are there?,41,8,quantity
The satirical comedy Airplane! was released in what year?,57,9,year
"The first coin-operated parking meter in the US was installed in Oklahoma City, Oklahoma. In what year was it installed?",120,20,year
How many pints are in a Firkin?,31,7,quantity
What year did prohibition start in the USA?,43,8,year
How many avenues radiate from the Arc De Triomphe in Paris?,59,11,quantity
How many British troops were killed on the first day of the Battle of the Somme on 1 July 1916?,95,20,quantity
In which year was John Lennon assassinated?,43,7,which
In what year was George Washington inaugurated as the first president of the United States?,91,15,year
In which year (+/- 2 years) was the original Disneyland resort to open to the general public?,93,17,which
"How many centimetres are there in a 'Hand', the measurement used on horses?",75,13,quantity
"Faulty Towers ran for a total of four years, but how many episodes were produced and released?",94,17,quantity
What is the significant total reached when all the numbers on a roulette wheel are added together?,98,17,when
In which year was singer Elvis Presley born?,44,8,which
The sixpenny coin ceased to be legal tender in Britain during which year?,73,13,which
"In the novel by Daniel Defoe, for how many years was Robinson Crusoe shipwrecked?",81,14,age
"In British currency, how many pre-decimal pennies were in a pound?",66,11,quantity
"In the UK, in which year was the voting age lowered from 30 to 21 for women?",76,17,which
How many goals did footballer Gary Lineker score for England?,61,10,quantity
What price did an adult British passport rise to in 2009?,57,11,what
A quincentenary is an anniversary of how many years?,52,9,age
In which year was the first London to Brighton veteran car run in the UK?,73,15,which
How many drivers are awarded points at the end of a Formula One Grand Prix race?,80,16,quantity
A ‘Cockle’ is English slang for what amount of money?,53,10,what
"In which year was the Henry Wood Promenade Concerts, otherwise known as The Proms, founded?",91,15,which
How many imperial gallons of oil are in a barrel?,49,10,quantity
In which year was the death penalty for treason formally abolished on the mainland UK?,86,15,which
Which prime number is between 11 and 17?,40,8,which
How many goals were scored in the 2006 FIFA World Cup?,54,11,quantity
"In which year was the Battle of Bannockburn, between Scotland and England?",74,12,which
In which year were women allowed to compete in athletics events for the first time in the Olympic Games?,104,19,which
"In the UK, in which year did the Life Peerage Act entitled women to sit in the House of Lords for the first time?",113,24,which
How many letters are in the Welsh alphabet?,43,8,quantity
Which three digits can be found in the bushes at the base of the Lincoln Memorial on a US $5 (Five dollar) bill?,112,23,which
In which year was the Ford Anglia car first produced in the UK?,63,13,which
How many tiles are at there in a Double-12 set of dominoes?,59,12,quantity
In which year was the Battle of Britain?,40,8,which
"How many counters, or pieces, does each player start with in a game of backgammon?",82,15,quantity
"In which year was the Factory Act passed in Britain, to improve conditions for children working in factories?",109,18,which
"According to the Bible, how many pieces of silver did each of the Philistines offer Delilah to find out where Samson’s strength lay?",132,23,quantity
How many commandments does the Jewish Torah contain?,52,8,quantity
What is the square root of 196?,31,7,area
What is the largest recorded number of children born to one woman?,66,12,what
How many bones are babies born with?,36,7,quantity
In which year did Patrick Moore present the first episode of ‘The Sky At Night’ on television?,94,17,which
In which year were the Academy Awards first broadcast on television?,68,11,which
How many books make up the New Testament of the Bible?,54,11,quantity
"In the game of Bingo, ‘Jump and Jive’ is the nickname for which number?",71,14,which
In which year did Queen Elizabeth II first visit Australia as a reigning monarch?,81,14,which
"On a standard dartboard, which number lies between 9 and 11?",60,11,which
Amnesty International was founded in which year?,48,7,which
How many lines are in an English sonnet?,40,8,quantity
"In British currency slang, how much is a ‘Pony’ worth?",54,10,other
In which year was the Japanese attack on Pearl Harbour in the USA?,66,13,which
In which year was the Jif Plastic Lemon launched by Reckitt and Colman?,71,13,which
Triskaidekaphobia is the irrational fear of which number?,57,8,which
In which year was Alaska admitted as the 49th US state?,55,11,which
In which year did play first take place on the middle Sunday at Wimbledon?,74,14,which
Roman numerals LXXXVII is what number?,38,6,what
In which year did food rationing begin in Britain?,50,9,which
"During which year was Mary, Queen of Scots, executed?",53,9,which
In which year was live television coverage of the Olympic Games available internationally for the first time?,109,17,which
"Disney’s Magic Kingdom, near Orlando, Florida, opened in which year?",68,10,which
In which year did British monarch Queen Elizabeth II first pay Income Tax?,74,13,which
"Janis Joplin, Jimi Hendrix and Kurt Cobain all died at what age?",64,12,what
How many metres are in a nautical mile?,39,8,quantity
"What is the area dialling code for Liverpool, England?",54,9,area
"What is the sum, in degrees, of the angles in a triangle?",57,12,what
How many cards are dealt to each player in a game of contract rummy?,68,14,quantity
What is the title of the 1985 single by British musician Paul Hardcastle which has a strong anti-war message?,109,19,which
The Greek national anthem has a total of how many verses (or stanzas)?,70,13,quantity
In which year were women first allowed to participate in the Olympic Games?,75,13,which
What do the numbers on a standard dice add up to?,49,11,what
In which year was the Sydney Harbour Bridge officially opened?,62,10,which
In which year was the Oxford-Cambridge Boat Race declared a draw because it was said that the judge was asleep under a bush as the crews passed the finish line?,160,30,which
‘The Thought Police’ feature in which 1949 novel?,49,8,which
How many medals did Germany win in the 2002 Winter Olympic Games?,65,12,quantity
"In the computer game ‘The Sims’, how many Simoleons does each family start the game with?",89,16,quantity
Which year does Michael J Fox travel back to in the 1985 film ‘Back to the Future’?,83,17,which
How many days are in a Leap Year?,33,8,quantity
English actor Joss Ackland was born on 29th February in which year?,67,12,which
On January 1st of which year did Spain stop using the peseta as its national currency?,86,16,which
"In the game of darts, what score is known as ‘Not old’?",55,12,what
How many inches are in an imperial mile?,40,8,quantity
"In 1930, Australian cricketer Don Bradman scored a world record how many runs in 415 minutes at Sydney Cricket Ground?",118,20,quantity
"In a rugby union team, what number does the fly half wear on their shirt?",73,15,what
What is the square root of 225?,31,7,area
"The Yom Kippur War, or October War, took place during which year?",65,12,which
How many numbered boxes are there at the beginning of a game of UK tv’s ‘Deal or No Deal’?,90,19,quantity
"How many circles, on which players have to put their hand or foot, are on the mat in a game of ‘Twister’?",105,22,quantity
How many wooden blocks are in a traditional game of ‘Jenga’?,60,11,quantity
"On a standard dartboard, what number lies between 2 and 10?",59,11,what
How many edges does a cube have?,32,7,quantity
"In the game of Bingo, ‘Dirty Knees’ represents which number?",60,10,which
"In the game of darts, what is the maximum score that can be achieved in one throw of three darts?",97,20,what
Brazil is made up of how many states?,37,8,quantity
In which year did Oliver Cromwell become Lord Protector?,56,9,which
"In the UK television game show ‘The Exit List’, how many rooms are there altogether?",84,15,quantity
What age was Queen Elizabeth II at her coronation in 1953?,58,11,what
In which year was women’s football officially introduced into the Summer Olympics?,82,12,which
"How many pins are on a SCART connector, used to connect video equipment?",72,13,quantity
The diameter of a standard CD measures how many centimetres?,60,10,quantity
What do the interior angles of an octagon add up to in degrees?,63,13,what
In which year was the first Olympic Commemorative Coin minted?,62,10,which
In the nursery rhyme ‘Sing a Song of Sixpence’ how many blackbirds were baked in a pie?,87,17,quantity
How many ‘Books’ make up the Old Testament of the Bible?,56,11,quantity
During which year were the first Youth Olympics held?,53,9,which
How many ounces are in a US (short) ton?,40,9,quantity
‘Duck and dive’ represents which number in the game of Bingo?,61,11,which
"In poetry, a sonnet consists of how many lines?",47,9,quantity
"In the UK, during which year were women first allowed to vote in a General Election?",84,16,which
What is the highest number on a Euromillions lottery ticket?,60,10,what
The term ‘Googol’ is written in number form as number 1 followed by how many zeros?,83,16,quantity
The laws of cricket state that the length of a cricket bat must be no more than how many inches?,96,20,quantity
"In days, what is the average gestation period of a lioness?",59,11,what
The Pulitzer Prize is awarded in how many categories?,53,9,quantity
How many years make up a vicennial period?,42,8,age
Roman numerals MCMLXVIII represent which year?,46,6,which
During which year did the pre-decimal halfpenny coin cease to be legal tender in the UK?,88,16,which
How many yards are in a UK mile?,32,8,quantity
"In the game of Bingo, which number is known as ‘Fat Lady With a Crutch’?",72,15,which
What is the square root of 361?,31,7,area
How many players are on the field in a rugby union team?,56,12,quantity
How many properties are on a standard Monopoly board?,53,9,quantity
How many holes are on a classic cribbage board?,47,9,quantity
The European country of Switzerland is made up of how many cantons?,67,12,quantity
"In the game of darts, what score is known as ‘Bag O’nuts’?",58,12,what
"Not including Sundays, how many days are there in Lent?",55,10,quantity
A pentadecagon has how many sides?,34,6,quantity
How many players in one team are on the field in a game of shinty?,66,15,quantity
In the UK television game show ‘Deal or No Deal’ what is the lowest amount of money shown in the red box in pounds sterling?,124,25,what
There are how many in a gross?,30,7,quantity
How many ounces in an Imperial pound?,37,7,quantity
How many steeplechase fences are on the Aintree Grand National race course?,75,12,quantity
What is the all-seated capacity of Wembley Stadium in London?,61,10,what
A tridecagon has how many sides?,32,6,quantity
How many fluid ounces in one Imperial pint?,43,8,quantity
"In which year was Marie Antoinette, queen of France, executed?",62,10,which
What does each angle of a regular octagon measure in degrees?,61,11,what
How many chains are in a furlong?,33,7,quantity
During which year did BBC2 start broadcasting in the UK?,56,10,which
An octadecagon has how many sides?,34,6,quantity
What do all the numbers on a standard roulette wheel add up to?,63,13,what
How many Triple Letter squares are on a standard Scrabble board?,64,11,quantity
How many metres is one lap of a standard Olympic running track?,63,12,quantity
"How many sheets of paper, of the same size and quality, is in a metric quire?",77,16,quantity
In which year was cigarette advertising banned on British television?,69,10,which
In which year did Barbados join The Commonwealth?,49,8,which
"How much money, in pounds sterling and US dollars, does each player receive from the bank at the beginning of a game of Monopoly?",129,24,other
How many Concorde planes were built?,36,6,quantity
How many teeth does an adult cat normally have?,47,9,quantity
In which year did English monarch Elizabeth I die?,50,9,which
The eagle on the Great Seal of the US has how many arrows in its left talon?,76,17,quantity
"Women competed in the 3,000 metre steeplechase for the first time in the Summer Olympics in which year?",103,18,which
What does each angle of a regular pentagon measure in degrees?,62,11,what
How many lines make up the London Underground Railway system?,61,10,quantity
How many sheets of identical paper are in a ream?,49,10,quantity
How many fluid ounces in half an Imperial pint?,47,9,quantity
"In the game of Bingo, ‘Tickle Me’ represents which number?",58,10,which
Roman Numerals CD represent which number?,41,6,which
During which year was the inaugural tournament of the FIFA World Cup?,69,12,which
In which year did British author Charles Dickens die?,53,9,which
In which year was England footballer David Beckham awarded an OBE?,66,11,which
In which year was former British Prime Minister Margaret Thatcher born?,71,11,which
How many zeros are in a US quadrillion?,39,8,quantity
How many avenues start from the circle of the Arc de Triomphe in Paris?,71,14,quantity
How many states make up Germany?,32,6,quantity
In which year was the ‘Storming of the Bastille’ in Paris?,58,11,which
During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,96,15,which
What is 255 divided by 5?,25,6,what
How many houses are there in a game of Monopoly?,48,10,quantity
"In the game of darts, what score is known as ‘Breakfast’ or ‘Bed and Breakfast’?",80,15,what
How many players in a team are on the field at one time in a game of shinty?,76,18,quantity
In which year in the 21st Century did the US senate pass a resolution apologising for slavery?,94,17,which
How many double letter squares are on a standard Scrabble board?,64,11,quantity
‘Staying Alive’ represents which Bingo number?,46,6,which
Which number shirt does footballer Wayne Rooney wear for Manchester United?,75,11,which
How many hurdles are in a 100 metre women’s hurdle race?,56,11,quantity
"How many gold rings, altogether, did ‘My True Love give to me’ over the Twelve Days of Christmas?",97,18,quantity
In which year was the Bank of France (Banque de France) established?,68,12,which
Roman numerals MCMLXXIV represent which year?,45,6,which
How many dots are on a pair of regular dice?,44,10,quantity
"What is the cube root of 912,673?",33,7,what
‘Stairway to Heaven’ represents which Bingo number?,51,7,which
How many squares are on a chess board?,38,8,quantity
In the novel ‘Jane Eyre’ by Charlotte Bronte in which year was Jane born?,73,14,which
In which year did King Richard III of England die?,50,10,which
In which year was the maximum speed limit of 70 mph introduced in the UK?,73,15,which
How many stations are there on the Chicago ‘L’ rail system?,59,11,quantity
How many tiles are there in a standard game of Scrabble?,56,11,quantity
A Silver Jubilee is the anniversary of how many years of a significant event?,77,14,age
"On a standard dartboard, which number lies opposite 6?",54,9,which
"British monarchs George V, Edward VIII and George VI all reigned during which year?",83,14,which
During which year did British sovereignty of Hong Kong end?,59,10,which
"How many books, altogether, make up The Bible?",46,8,quantity
What is the boiling point of water in degrees Farenheit?,56,10,what
‘The Best Young Player Award’ was introduced at the FIFA World Cup in which year?,81,15,which
How many letters are in the Hebrew alphabet?,44,8,quantity
In which year was the first FA Cup Final played?,48,10,which
How many nights are in the novel ‘Arabian Nights’?,50,9,quantity
In which year did Prince Andrew marry Sarah Ferguson?,53,9,which
In which year was the Bank of England entirely nationalised?,60,10,which
How many ribs does a human have?,32,7,quantity
"Which year saw the first ‘space tourist’ Dennis Tito, who paid a reported 20 million dollars to board the International Space Station?",134,22,who
In which year was the Oxford English Dictionary first published in ten volumes?,79,13,which
How many stations are on the London Underground Central Line?,61,10,quantity
What number of points come after 15 in a game of tennis?,56,12,what
What is the highest prime number between 1 and 100?,51,10,what
How many grams in half a kilo?,30,7,quantity
In which year did singer Elvis Presley marry Priscilla Beaulieu?,64,10,which
In which year did seatbelt use for drivers become mandatory in the UK?,70,13,which
In which year did Japan join the United Nations?,48,9,which
In which year did the first car-carrying hovercraft cross the English Channel?,78,12,which
"In the board game Monopoly, what is the highest denomination banknote in ‘pounds’ sterling?",91,14,what
In which year was Scotland united with England by the Acts of Union?,68,13,which
In which year was the Berlin International Film Festival first held?,68,11,which
In which year was the tax on betting abolished in the Britain?,62,12,which
In which year did British monarch Queen Victoria celebrate her Diamond Jubilee?,79,12,which
How many spaces does a standard ‘Connect Four’ game have?,57,10,quantity
"On a standard dartboard, what number lies between 8 and 14?",59,11,what
In which year was drug testing first introduced in the Summer Olympic Games?,76,13,which
"In the board game ‘Operation’, how many Doctor’s points are scored by successfully removing the Funny Bone (humerus)?",117,18,quantity
How many stations are on the Glasgow subway rail system?,56,10,quantity
How old was playwright William Shakespeare when he died?,56,9,age
In which year did colour television begin broadcasting across Australia?,72,10,which
In which year did Italy join the Six Nations (then Five Nations) Rugby Union Championship?,90,15,which
In which year was the Cannes Film Festival founded?,51,9,which
In which year was gender testing introduced in the Olympic Games?,65,11,which
‘Winnie the Pooh’ is the Bingo call for which number?,53,10,which
In which year was Ferdinand Marcos first elected as President of the Philippines?,81,13,which
Which Boeing airliner made its maiden flight in September 1981?,63,10,which
In the UK in pre-decimal currency how many farthings were in a shilling?,72,13,quantity
What is the highest number on a UK National Lottery ticket?,59,11,what
In which year did the British government decriminalise homosexuality?,69,9,which
How many stations are on the London Underground Victoria Line?,62,10,quantity
How many squares are on a Spear’s Games Snakes and Ladders board?,65,12,quantity
Which year saw the first indoor Wimbledon Men’s Final?,54,9,which
"In mathematics, how many degrees are in a straight angle?",57,10,quantity
"In poetry, an alexandrine is a line of verse comprising how many syllables?",75,13,quantity
‘A duck and a flea’ is the Bingo call for which number?,55,12,which
How many stations are there on the Paris Metro rail system?,59,11,quantity
How many feet in a UK mile?,27,7,quantity
In which year did golfer Tiger Woods turn professional?,55,9,which
During which year where same-sex marriages legalised in New York City?,70,11,where
Hexakosioihexekontahexaphobia is the fear of which number?,58,7,which
How many inches in a UK mile?,29,7,quantity
"In the US television series ‘Cheers’, in which year was the bar established?",76,13,which
In which year were Jumping Jack fireworks banned from sale in the UK?,69,13,which
In which year did Winston Churchill retire as British Prime Minister?,69,11,which
Which year saw the first commercial Concorde flight?,52,8,which
How many cards are in each suit in a standard deck of cards?,60,13,quantity
"What is the cube root of 1,000?",31,7,what
During which year did the first RHS Chelsea Flower Show take place?,67,12,which
In which year was British monarch Queen Victoria born?,54,9,which
Goodbye Teens is the bingo call for which number?,49,9,which
How many points are there on a compass?,39,8,quantity
During which year was the ‘Red Card’ introduced in the game of football in England?,83,15,which
The Chromatic Scale is a musical scale with how many pitches or notes?,70,13,quantity
"During which year did the Channel Tunnel, between England and France, open?",75,12,which
"Not including the centre square, how many Double Word squares are there on a standard Scrabble board?",101,17,quantity
During which year were escalators installed in the Empire State Building in New York?,85,14,which
The International Olympic Committee was founded in which year?,62,9,which
"In mathematics, what is 3 cubed?",32,6,what
"In April 2013, which three digit free-to-call, non-emergency number was introduced by the NHS to replace the telephone triage and advice services provided by NHS Direct?",169,26,which
"‘It was a bright, cold day in April and the clocks were striking thirteen’ is the opening line of which novel?",110,21,which
During which year did Switzerland become a full member of the United Nations?,77,13,which
"On a standard dartboard, what number lies opposite 10?",54,9,what
"On a standard dartboard, which number lies opposite 1?",54,9,which
How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,83,15,quantity
How many gold medals did Britain win in the 2012 Summer Olympic Games?,70,13,quantity
Thailand is divided into how many provinces?,44,7,quantity
"On a regular clockface, which number lies opposite 5?",53,9,which
How many scoring zones are on a standard dartboard?,51,9,quantity
How many countries make up Europe?,34,6,quantity
Which year saw the dissolution of the Soviet Union?,51,9,which
‘You’re doing fine’ is the call for which Bingo number?,55,10,which
How many dresses are in the title of a 2008 film starring Katherine Heigl?,74,14,quantity
During which year did a man last walk on the moon?,50,11,which
What is the square root of 900?,31,7,area
Traditionally a ‘coven’ traditionally refers to a meeting of how many witches?,78,12,quantity
Which year in the 1970’s saw three popes?,41,8,which
In what year did Princess Diana die?,36,7,year
In which year did the world’s first ‘expo’ the Great Exhibition in London take place?,85,15,which
In what year in the sixties did it take place?,46,10,year
"To within one year, in what year of this century was it badly damaged by fire?",78,16,year
"To within a year either way, in what year did Victoria’s husband Prince Albert die?",83,15,year
In which year did Maggie Thatcher become Prime Minister?,56,9,which
