question,answer,answer_numeric,is_integer_like,decimals,answer_type,decade,century,q_len_chars,q_len_words,q_wh_type,outlier_iqr,zscore,outlier_z
When did field hockey become an Olympic event for men?,1908.0,1908.0,True,0,year,1900.0,20.0,54,10,year,False,0.08858081630041183,False
"How old was Harry Stevens when he married at the Caravilla Retirement Home, Wisconsin in 1984?",104.0,104.0,True,0,age,,,94,16,age,False,-0.2979196047550021,False
In which year did Count Basie die?,1984.0,1984.0,True,0,year,1980.0,20.0,34,7,which,False,0.10486353913866653,False
In which year was the University of Alaska Anchorage founded?,1954.0,1954.0,True,0,year,1950.0,20.0,61,10,which,False,0.09843614854461862,False
How many years after men's field hockey became an Olympic sport did the women's game become an Olympic event?,72.0,72.0,True,0,age,,,109,19,age,False,-0.3047754880553199,False
In what year of the 1990s was baseball's World Series canceled?,1994.0,1994.0,True,0,year,1990.0,20.0,63,11,year,False,0.10700600267001582,False
How old was Laurel and Hardy producer Hal Roach when he died in 1992?,100.0,100.0,True,0,age,,,69,14,age,False,-0.2987765901675419,False
Which Apollo mission was filmed in 1995 with Tom Hanks?,13.0,13.0,True,0,age,,,55,10,which,False,-0.31741602289028076,False
In what year does Demolition Man take place?,2032.0,2032.0,True,0,year,2030.0,21.0,44,8,year,False,0.11514736408914317,False
How many different hats does Madonna wear in Evita?,39.0,39.0,True,0,age,,,51,9,quantity,False,-0.3118456177087726,False
In what year was the Kellogg Company set up to manufacture cornflakes?,1906.0,1906.0,True,0,year,1900.0,20.0,70,12,year,False,0.08815232359414198,False
"To the nearest million, what was the population of the USA in 1910?",92.0,92.0,True,0,age,,,67,13,what,False,-0.3004905609926213,False
In what year did regular Boeing 707 flights begin across he Atlantic?,1958.0,1958.0,True,0,year,1950.0,20.0,69,12,year,False,0.09929313395715834,False
In what year did the New York subway open?,1903.0,1903.0,True,0,year,1900.0,20.0,42,9,year,False,0.08750958453473719,False
How many prisoners were left in Alcatraz just before it closed?,27.0,27.0,True,0,age,,,63,11,quantity,False,-0.3144165739463918,False
The Fabulous Cullinan diamond was cut into how many separate gems?,105.0,105.0,True,0,age,,,66,11,quantity,False,-0.2977053584018672,False
Gunn-toting Wyatt Earp survived to what age?,80.0,80.0,True,0,age,,,44,7,what,False,-0.30306151723024044,False
How many 'points for peace' did President Wilson announce in 1918?,14.0,14.0,True,0,age,,,66,11,quantity,False,-0.3172017765371459,False
How many races did Ed Moses win in succession between '77 and '87?,122.0,122.0,True,0,medium_int,,,66,13,quantity,False,-0.2940631703985734,False
In what year was indoor handball introduced as an Olympic event for men?,1972.0,1972.0,True,0,year,1970.0,20.0,72,13,year,False,0.10229258290104735,False
What year was the centenary of Colorado joining the Union?,1976.0,1976.0,True,0,year,1970.0,20.0,58,10,year,False,0.10314956831358708,False
How old was Dodi Fayed at the time of his death in 1997?,42.0,42.0,True,0,age,,,56,13,age,False,-0.3112028786493678,False
"To the nearest million, how mjch did Heavan's Gate lose for United Artists?",30.0,30.0,True,0,age,,,75,13,other,False,-0.31377383488698696,False
How old was Douglas Fairbanks when he married 23-year-old Joan Crawford?,19.0,19.0,True,0,age,,,72,11,age,False,-0.3161305447714712,False
How old was Orson Welles when he made Citizen Kane?,25.0,25.0,True,0,age,,,51,10,age,False,-0.3148450666526616,False
"When did Euro Disney, now Disneyland Paris, open?",1992.0,1992.0,True,0,year,1990.0,20.0,49,8,year,False,0.10657750996374596,False
How many years did the Holocaust last?,12.0,12.0,True,0,age,,,38,7,age,False,-0.3176302692434157,False
"In square miles, how big is lake Superior?",31700.0,31700.0,True,0,large_number,,,42,8,area,True,6.47140816889625,True
In what year was the first woman elected to the US Senate?,1922.0,1922.0,True,0,year,1920.0,20.0,58,12,year,False,0.09158026524430085,False
How many Gilbert & Sullivan operas are there?,13.0,13.0,True,0,age,,,45,8,quantity,False,-0.31741602289028076,False
In which year did Britain's lease on Hong Kong officially expire?,1997.0,1997.0,True,0,year,1990.0,20.0,65,11,which,False,0.10764874172942061,False
"Is the Great Wall of China 650, 1,450 or 2,050 miles long?",1450.0,1450.0,True,0,year,1450.0,15.0,58,12,other,False,-0.009544013435386172,False
In which year were East and West Germany unified?,1990.0,1990.0,True,0,year,1990.0,20.0,49,9,which,False,0.10614901725747611,False
What year saw the nationalization of British Railways?,1948.0,1948.0,True,0,year,1940.0,20.0,54,8,year,False,0.09715067042580904,False
In which year did the Japanese attack Pearl Harbor?,1941.0,1941.0,True,0,year,1940.0,20.0,51,9,which,False,0.09565094595386453,False
In which year did the Korean War break out?,1950.0,1950.0,True,0,year,1950.0,20.0,43,9,which,False,0.0975791631320789,False
"In which year was Ulster incorporated into the UK, under the Home Rule Act?",1920.0,1920.0,True,0,year,1920.0,20.0,75,14,which,False,0.09115177253803099,False
In what year did the Representation of the People Act give the vote to all women over 21?,1928.0,1928.0,True,0,year,1920.0,20.0,89,18,year,False,0.09286574336311043,False
How old must you be to vote in a British parliamentary election?,18.0,18.0,True,0,age,,,64,12,age,False,-0.3163447911246061,False
In which year did Mikhail Gorbachev resign as Soviet president?,1991.0,1991.0,True,0,year,1990.0,20.0,63,10,which,False,0.10636326361061103,False
How many countries are there in the British Commonwealth?,50.0,50.0,True,0,age,,,57,9,quantity,False,-0.30948890782428834,False
When was the first Pioneer space probe launched?,1958.0,1958.0,True,0,year,1950.0,20.0,48,8,year,False,0.09929313395715834,False
After how many years of marriage would you celebrate your ruby anniversary?,40.0,40.0,True,0,age,,,75,12,age,False,-0.3116313713556377,False
How many counters does each player have at the start of a game of backgammon?,15.0,15.0,True,0,age,,,77,15,quantity,False,-0.31698753018401093,False
"How many centimetres make up a hand, the measurement used on horses?",10.0,10.0,True,0,age,,,68,12,quantity,False,-0.3180587619496856,False
In what year did the weather forecast appear in The Times newspaper for the first time?,1860.0,1860.0,True,0,year,1860.0,19.0,87,16,year,False,0.07829699134993519,False
In what year did Percy L. Spencer invent the microwave?,1947.0,1947.0,True,0,year,1940.0,20.0,55,10,year,False,0.09693642407267411,False
When was the nobel prize for literature first awarded?,1901.0,1901.0,True,0,year,1900.0,20.0,54,9,year,False,0.08708109182846732,False
In what year was highwayman Dick Turpin hanged?,1739.0,1739.0,True,0,year,1730.0,18.0,47,8,year,False,0.05237318262060864,False
Chemically pure gold contains how many carats?,24.0,24.0,True,0,age,,,46,7,quantity,False,-0.31505931300579654,False
What is the boiling point of water in degrees Fahrenheit?,212.0,212.0,True,0,medium_int,,,57,10,what,False,-0.2747809986164297,False
In what year was Albert Einstein born?,1879.0,1879.0,True,0,year,1870.0,19.0,38,7,year,False,0.08236767205949885,False
How many housing property squares are there on a Monopoly board?,22.0,22.0,True,0,age,,,64,11,quantity,False,-0.3154878057120664,False
"On a football pitch, how many yards should the penalty spot be from the goal line?",12.0,12.0,True,0,age,,,82,16,quantity,False,-0.3176302692434157,False
In what year was the first World Cup held?,1930.0,1930.0,True,0,year,1930.0,20.0,42,9,year,False,0.0932942360693803,False
What was the number on the back of the jersey that both Maradona and Pele said was lucky?,10.0,10.0,True,0,age,,,89,18,what,False,-0.3180587619496856,False
In what year was the first penalty scored in an FA Cup final?,1910.0,1910.0,True,0,year,1910.0,20.0,61,13,year,False,0.08900930900668169,False
The Beatles' last live performance was at Candlestick Park in San Francisco. In what year was this?,1966.0,1966.0,True,0,year,1960.0,20.0,99,17,year,False,0.10100710478223777,False
"When women first got the vote in Britain in 1918, how old did they have to be?",30.0,30.0,True,0,age,,,78,17,age,False,-0.31377383488698696,False
For how many years did Louis XIV of France reign?,72.0,72.0,True,0,age,,,49,10,age,False,-0.3047754880553199,False
How many players in total get down in a normal rugby union scrum?,16.0,16.0,True,0,age,,,65,13,quantity,False,-0.316773283830876,False
In what year was the first World Snooker Championship held?,1927.0,1927.0,True,0,year,1920.0,20.0,59,10,year,False,0.0926514970099755,False
In what year did Agatha Christie die?,1976.0,1976.0,True,0,year,1970.0,20.0,37,7,year,False,0.10314956831358708,False
In which year was British Prime Minister Spencer Perceval assasinated?,1812.0,1812.0,True,0,year,1810.0,19.0,70,10,which,False,0.06801316639945854,False
In what year did Sir Frederick Banting and J. J. R. MacLeod discover insulin?,1922.0,1922.0,True,0,year,1920.0,20.0,77,14,year,False,0.09158026524430085,False
How many yards are in a furlong?,220.0,220.0,True,0,medium_int,,,32,7,quantity,False,-0.2730670277913502,False
What is the atomic number of the element Californium?,98.0,98.0,True,0,age,,,53,9,what,False,-0.2992050828738117,False
In which year was the film studio Paramount opened?,1912.0,1912.0,True,0,year,1910.0,20.0,51,9,which,False,0.08943780171295156,False
What 1948 novel was originally going to be called The Last Man in Europe?,1984.0,1984.0,True,0,year,1980.0,20.0,73,14,what,False,0.10486353913866653,False
How many black keys are there on the a standard piano?,36.0,36.0,True,0,age,,,54,11,quantity,False,-0.3124883567681774,False
In what year was the first Christmas card produced?,1843.0,1843.0,True,0,year,1840.0,19.0,51,9,year,False,0.07465480334664137,False
How many pieces does each player have in backgammon?,15.0,15.0,True,0,age,,,52,9,quantity,False,-0.31698753018401093,False
In what year did the Japanese bomb Pearl Harbour?,1941.0,1941.0,True,0,year,1940.0,20.0,49,9,year,False,0.09565094595386453,False
How many times has Bob Hope hosted the Oscars ceremony?,18.0,18.0,True,0,age,,,55,10,quantity,False,-0.3163447911246061,False
In what year was the first English translation of the Bible completed?,1388.0,1388.0,True,0,year,1380.0,14.0,70,12,year,False,-0.022827287329751842,False
How many UK top 40 hits did Prince have in the 1980s?,20.0,20.0,True,0,age,,,53,12,quantity,False,-0.3159162984183363,False
In what year did Bugs Bunny make his debut?,1937.0,1937.0,True,0,year,1930.0,20.0,43,9,year,False,0.0947939605413248,False
How many own goals were scored in the 2001/02 Premiership season?,24.0,24.0,True,0,age,,,65,11,quantity,False,-0.31505931300579654,False
In what year was Mary Poppins written?,1934.0,1934.0,True,0,year,1930.0,20.0,38,7,year,False,0.09415122148192001,False
How many hurdles must a runner jump over in the 110m men's hurdles race?,10.0,10.0,True,0,age,,,72,14,quantity,False,-0.3180587619496856,False
How many kilometres long is the walk - the longest race in men's athletics?,50.0,50.0,True,0,age,,,75,14,quantity,False,-0.30948890782428834,False
What is Sir Donald Bradman's test cricket batting average?,99.94,99.94,False,2,other_numeric,,,58,9,what,False,-0.29878944494872994,False
"According to the Highway Code, passengers of what age and above are responsible for themselves wearing a seatbelt?",14.0,14.0,True,0,age,,,114,18,what,False,-0.3172017765371459,False
In which year did Czechoslovakia become the first country to make seat belts compulsory?,1969.0,1969.0,True,0,year,1960.0,20.0,88,14,which,False,0.10164984384164256,False
In which year did California become one of the United States of America?,1850.0,1850.0,True,0,year,1850.0,19.0,72,13,which,False,0.07615452781858588,False
"In which year did Charles, Duke of Orleans, send the first known Valentine's card?",1415.0,1415.0,True,0,year,1410.0,15.0,82,14,which,False,-0.017042635795108726,False
"How many different ways are there to make change of a dollar? 111, 293 or 487?",293.0,293.0,True,0,medium_int,,,78,16,quantity,False,-0.25742704401250033,False
How many teaspoons are there in a cup?,48.0,48.0,True,0,age,,,38,8,quantity,False,-0.3099174005305582,False
"In degrees centigrade, what is the normal body temperature?",37.0,37.0,True,0,age,,,59,9,what,False,-0.31227411041504244,False
How many bones are there in a normal human hand?,27.0,27.0,True,0,age,,,48,10,quantity,False,-0.3144165739463918,False
In what year was the best foreign film category introduced to the Academy Awards?,1948.0,1948.0,True,0,year,1940.0,20.0,81,14,year,False,0.09715067042580904,False
How many points would the word Scrabble score in the game of Scrabble?,14.0,14.0,True,0,age,,,70,13,quantity,False,-0.3172017765371459,False
In which year were red and yellow cards first used in the English leagues?,1976.0,1976.0,True,0,year,1970.0,20.0,74,14,which,False,0.10314956831358708,False
In which year was actor Sean Connery born?,1930.0,1930.0,True,0,year,1930.0,20.0,42,8,which,False,0.0932942360693803,False
In which year did Superman appear in comics for the first time?,1938.0,1938.0,True,0,year,1930.0,20.0,63,12,which,False,0.09500820689445974,False
"On a darts board, which number is directly opposite 1?",19.0,19.0,True,0,age,,,54,10,which,False,-0.3161305447714712,False
"In cricket, how many runs is a double nelson?",222.0,222.0,True,0,medium_int,,,45,9,quantity,False,-0.2726385350850804,False
"In centimetres, how high is a table tennis table?",76.0,76.0,True,0,age,,,49,9,other,False,-0.3039185026427802,False
In which year was Wuthering Heights by Emily Bronte first published?,1847.0,1847.0,True,0,year,1840.0,19.0,68,11,which,False,0.07551178875918109,False
How many points would you get for the word Scrabble in a game of Scrabble?,14.0,14.0,True,0,age,,,74,15,quantity,False,-0.3172017765371459,False
In which year did Karl Marx publish the first volume of Das Kapital?,1867.0,1867.0,True,0,year,1860.0,19.0,68,13,which,False,0.0797967158218797,False
In what year did the first Rugby World Cup take place?,1987.0,1987.0,True,0,year,1980.0,20.0,54,11,year,False,0.10550627819807132,False
What was the attendance at the 2002 World Cup Final?,69029.0,69029.0,True,0,large_number,,,52,10,what,True,14.469010285070057,True
"In which year did Emmerdale Farm become Emmerdale? 1989, 1992 or 1995?",1989.0,1989.0,True,0,year,1980.0,20.0,70,12,which,False,0.10593477090434117,False
In which year did J. R. R. Tolkein die?,1973.0,1973.0,True,0,year,1970.0,20.0,39,9,which,False,0.1025068292541823,False
In what year were the first modern Olympic Games held?,1896.0,1896.0,True,0,year,1890.0,19.0,54,10,year,False,0.08600986006279267,False
In what year did Steve Redgrave win his first gold medal at the Olympics?,1984.0,1984.0,True,0,year,1980.0,20.0,73,14,year,False,0.10486353913866653,False
In which year was the Charity Shield first contested?,1909.0,1909.0,True,0,year,1900.0,20.0,53,9,which,False,0.08879506265354677,False
"Considered as the oldest zoo in the world, in what year did the Vienna Zoo first open to visitors?",1752.0,1752.0,True,0,year,1750.0,18.0,98,19,year,False,0.05515838521136273,False
In which year was the microscope invented?,1931.0,1931.0,True,0,year,1930.0,20.0,42,7,which,False,0.09350848242251522,False
"How many barrels of gunpowder were discovered in the cellars of Westminster Hall as part of Guy Fawkes' gunpowder plot? 36, 96 or 266?",36.0,36.0,True,0,age,,,134,24,quantity,False,-0.3124883567681774,False
In what year did the Gunpowder Plot take place?,1605.0,1605.0,True,0,year,1600.0,17.0,47,9,year,False,0.023664171300528,False
In which year was the penalty kick first introduced into the game of football?,1891.0,1891.0,True,0,year,1890.0,19.0,78,14,which,False,0.08493862829711801,False
"In Channel 4's 1999 poll to find the 100 Greatest Movie Stars, in what position was Michael Caine?",44.0,44.0,True,0,age,,,98,18,what,False,-0.3107743859430979,False
How many calories are in a pint of Guinness?,198.0,198.0,True,0,medium_int,,,44,9,quantity,False,-0.2777804475603187,False
In which year was Prince William born?,1982.0,1982.0,True,0,year,1980.0,20.0,38,7,which,False,0.10443504643239666,False
"As at April 2004, how many different Prime Ministers has the Queen given audience to?",10.0,10.0,True,0,age,,,85,15,quantity,False,-0.3180587619496856,False
"At the time of her golden jubilee, how many ships had the Queen launched?",17.0,17.0,True,0,age,,,73,14,quantity,False,-0.31655903747774106,False
In what year was the Mixed Doubles first contested in Wimbledon?,1913.0,1913.0,True,0,year,1910.0,20.0,64,11,year,False,0.08965204806608648,False
What was the attendance at the 2003 Rugby World Cup final when England beat Australia?,82957.0,82957.0,True,0,large_number,,,86,15,when,True,17.453033491533365,True
"In the song The Twelve Days Of Christmas, how many ladies dancing are given as gifts in total?",36.0,36.0,True,0,age,,,94,18,quantity,False,-0.3124883567681774,False
In what year was the Big Mac introduced into McDonalds?,1968.0,1968.0,True,0,year,1960.0,20.0,55,10,year,False,0.10143559748850764,False
How many kilobytes are there in a megabyte?,1024.0,1024.0,True,0,year,1020.0,11.0,43,8,quantity,False,-0.10081295987086641,False
How many minutes does it take the Hubble Space Telescope to complete one orbit around the earth?,97.0,97.0,True,0,age,,,96,17,quantity,False,-0.29941932922694664,False
"After the 2005 Eurovision Song Contest, how many times had the United Kingdom finished second?",15.0,15.0,True,0,age,,,94,15,quantity,False,-0.31698753018401093,False
In which year was the word homosexual first used?,1869.0,1869.0,True,0,year,1860.0,19.0,49,9,which,False,0.08022520852814956,False
In which year were 3 points for a win first introduced to the group stages of the World Cup finals?,1994.0,1994.0,True,0,year,1990.0,20.0,99,20,which,False,0.10700600267001582,False
"How many pairs of ribs does a human have? 8, 10 or 12?",12.0,12.0,True,0,age,,,54,13,quantity,False,-0.3176302692434157,False
How many golden stars appear in the circle on the blue background of the flag of the European Union?,12.0,12.0,True,0,age,,,100,19,quantity,False,-0.3176302692434157,False
How many times has the flag known as the stars and stripes been changed since it was first adopted by 13 American states?,26.0,26.0,True,0,age,,,121,23,quantity,False,-0.3146308202995267,False
"The first set of rules for the sport of Boxing, the London Prize Ring rules, were introduced in which year?",1743.0,1743.0,True,0,year,1740.0,18.0,107,20,which,False,0.05323016803314836,False
"Miss Saigon premiered in Drury Lane, London in 1989, but how many performances were put on there before it closed?",4264.0,4264.0,True,0,other_numeric,,,114,20,quantity,False,0.5933452242863072,False
"How old is the prostitute, played by Jodie Foster in Taxi Driver, supposed to be?",12.0,12.0,True,0,age,,,81,15,age,False,-0.3176302692434157,False
"BBC 2 started its programming on 20 April, in which year? 1954, 1959 or 1964?",1964.0,1964.0,True,0,year,1960.0,20.0,77,15,which,False,0.10057861207596792,False
In what year was the first Six Nations Championship played?,2000.0,2000.0,True,0,year,2000.0,21.0,59,10,year,False,0.1082914807888254,False
In what year did the first Red Nose Day take place?,1988.0,1988.0,True,0,year,1980.0,20.0,51,11,year,False,0.10572052455120624,False
"How many of Muhammad Ali's 61 professional boxing fights did he win? 50, 56 or 60?",56.0,56.0,True,0,age,,,82,16,quantity,False,-0.30820342970547876,False
"In 2006 there were approximately how many pubs in the UK? 47,500, 57,500 or 67,500?",57500.0,57500.0,True,0,large_number,,,83,15,quantity,True,11.998964079777448,True
How many symphonies did Mozart compose?,41.0,41.0,True,0,age,,,39,6,quantity,False,-0.31141712500250274,False
"In music, the B-52s were formed in which year? 1976, 1980 or 1984?",1976.0,1976.0,True,0,year,1970.0,20.0,66,13,which,False,0.10314956831358708,False
Guy Fawkes Night on November 5th celebrates the discovery of the plot to blow up the Houses of Parliament?  In what year did this take place?,1605.0,1605.0,True,0,year,1600.0,17.0,141,26,year,False,0.023664171300528,False
How many pairs of chromosomes are there in the human body?,23.0,23.0,True,0,age,,,58,11,quantity,False,-0.3152735593589315,False
In which year was the film Casablanca premiered?,1942.0,1942.0,True,0,year,1940.0,20.0,48,8,which,False,0.09586519230699946,False
How many ounces are there in a pound?,16.0,16.0,True,0,age,,,37,8,quantity,False,-0.316773283830876,False
How many yards are there in a mile?,1760.0,1760.0,True,0,year,1760.0,18.0,35,8,quantity,False,0.05687235603644217,False
How many yards are there in a chain?,22.0,22.0,True,0,age,,,36,8,quantity,False,-0.3154878057120664,False
How many sheets of paper are there in a quire?,24.0,24.0,True,0,age,,,46,10,quantity,False,-0.31505931300579654,False
How many sheets of paper are there in one ream?,500.0,500.0,True,0,medium_int,,,47,10,quantity,False,-0.2130780489135698,False
"How many metres are there in a mile? 1609, 1659 or 1709?",1609.0,1609.0,True,0,year,1600.0,17.0,56,12,quantity,False,0.02452115671306772,False
In what year was the winter Olympics held for the first time so as not to coincide with the summer Olympics?,1994.0,1994.0,True,0,year,1990.0,20.0,108,21,year,False,0.10700600267001582,False
What is the total number of grass courts at Wimbledon?,19.0,19.0,True,0,age,,,54,10,what,False,-0.3161305447714712,False
In which year was the German battleship The Bismarck sunk by the Royal Navy?,1941.0,1941.0,True,0,year,1940.0,20.0,76,14,which,False,0.09565094595386453,False
"In which year was the Six Day War fought between Israel, Egypt, Syria and Jordan.",1967.0,1967.0,True,0,year,1960.0,20.0,81,15,which,False,0.10122135113537271,False
How many episodes of Fawlty Towers were made?.,12.0,12.0,True,0,age,,,46,8,quantity,False,-0.3176302692434157,False
How many white squares are there on a chess board?,32.0,32.0,True,0,age,,,50,10,quantity,False,-0.31334534218071713,False
In which year did The Beatles officially split?,1970.0,1970.0,True,0,year,1970.0,20.0,47,8,which,False,0.1018640901947775,False
How many pieces of paper make up a Quire.,25.0,25.0,True,0,age,,,41,9,quantity,False,-0.3148450666526616,False
How many Quires make up a Ream,20.0,20.0,True,0,age,,,30,7,quantity,False,-0.3159162984183363,False
How many is there in a bakers dozen?,13.0,13.0,True,0,age,,,36,8,quantity,False,-0.31741602289028076,False
In which year did a terrorist group kill eleven hostages at the Olympic Games?,1972.0,1972.0,True,0,year,1970.0,20.0,78,14,which,False,0.10229258290104735,False
What RAF squardron number was nicknamed The Dambusters?,617.0,617.0,True,0,medium_int,,,55,8,what,False,-0.188011225596783,False
In which year was The Highway Code first published.,1931.0,1931.0,True,0,year,1930.0,20.0,51,9,which,False,0.09350848242251522,False
How many points of the compass are there?,32.0,32.0,True,0,age,,,41,8,quantity,False,-0.31334534218071713,False
The satirical comedy Airplane! was released in what year?,1980.0,1980.0,True,0,year,1980.0,20.0,57,9,year,False,0.1040065537261268,False
"The first coin-operated parking meter in the US was installed in Oklahoma City, Oklahoma. In what year was it installed?",1935.0,1935.0,True,0,year,1930.0,20.0,120,20,year,False,0.09436546783505495,False
How many pints are in a Firkin?,72.0,72.0,True,0,age,,,31,7,quantity,False,-0.3047754880553199,False
What year did prohibition start in the USA?,1920.0,1920.0,True,0,year,1920.0,20.0,43,8,year,False,0.09115177253803099,False
How many avenues radiate from the Arc De Triomphe in Paris?,12.0,12.0,True,0,age,,,59,11,quantity,False,-0.3176302692434157,False
How many British troops were killed on the first day of the Battle of the Somme on 1 July 1916?,20000.0,20000.0,True,0,large_number,,,95,20,quantity,True,3.9647258372175678,True
In which year was John Lennon assassinated?,1980.0,1980.0,True,0,year,1980.0,20.0,43,7,which,False,0.1040065537261268,False
In what year was George Washington inaugurated as the first president of the United States?,1789.0,1789.0,True,0,year,1780.0,18.0,91,15,year,False,0.06308550027735514,False
In which year (+/- 2 years) was the original Disneyland resort to open to the general public?,1955.0,1955.0,True,0,year,1950.0,20.0,93,17,which,False,0.09865039489775354,False
"How many centimetres are there in a 'Hand', the measurement used on horses?",10.0,10.0,True,0,age,,,75,13,quantity,False,-0.3180587619496856,False
"Faulty Towers ran for a total of four years, but how many episodes were produced and released?",12.0,12.0,True,0,age,,,94,17,quantity,False,-0.3176302692434157,False
What is the significant total reached when all the numbers on a roulette wheel are added together?,666.0,666.0,True,0,medium_int,,,98,17,when,False,-0.1775131542931714,False
In which year was singer Elvis Presley born?,1935.0,1935.0,True,0,year,1930.0,20.0,44,8,which,False,0.09436546783505495,False
The sixpenny coin ceased to be legal tender in Britain during which year?,1980.0,1980.0,True,0,year,1980.0,20.0,73,13,which,False,0.1040065537261268,False
"In the novel by Daniel Defoe, for how many years was Robinson Crusoe shipwrecked?",28.0,28.0,True,0,age,,,81,14,age,False,-0.31420232759325684,False
"In British currency, how many pre-decimal pennies were in a pound?",240.0,240.0,True,0,medium_int,,,66,11,quantity,False,-0.26878210072865166,False
"In the UK, in which year was the voting age lowered from 30 to 21 for women?",1928.0,1928.0,True,0,year,1920.0,20.0,76,17,which,False,0.09286574336311043,False
How many goals did footballer Gary Lineker score for England?,48.0,48.0,True,0,age,,,61,10,quantity,False,-0.3099174005305582,False
What price did an adult British passport rise to in 2009?,77.5,77.5,False,1,other_numeric,,,57,11,what,False,-0.3035971331130778,False
A quincentenary is an anniversary of how many years?,500.0,500.0,True,0,medium_int,,,52,9,age,False,-0.2130780489135698,False
In which year was the first London to Brighton veteran car run in the UK?,1896.0,1896.0,True,0,year,1890.0,19.0,73,15,which,False,0.08600986006279267,False
How many drivers are awarded points at the end of a Formula One Grand Prix race?,10.0,10.0,True,0,age,,,80,16,quantity,False,-0.3180587619496856,False
A ‘Cockle’ is English slang for what amount of money?,10.0,10.0,True,0,age,,,53,10,what,False,-0.3180587619496856,False
"In which year was the Henry Wood Promenade Concerts, otherwise known as The Proms, founded?",1895.0,1895.0,True,0,year,1890.0,19.0,91,15,which,False,0.08579561370965774,False
How many imperial gallons of oil are in a barrel?,35.0,35.0,True,0,age,,,49,10,quantity,False,-0.3127026031213123,False
In which year was the death penalty for treason formally abolished on the mainland UK?,1998.0,1998.0,True,0,year,1990.0,20.0,86,15,which,False,0.10786298808255554,False
Which prime number is between 11 and 17?,13.0,13.0,True,0,age,,,40,8,which,False,-0.31741602289028076,False
How many goals were scored in the 2006 FIFA World Cup?,147.0,147.0,True,0,medium_int,,,54,11,quantity,False,-0.2887070115702001,False
"In which year was the Battle of Bannockburn, between Scotland and England?",1314.0,1314.0,True,0,year,1310.0,14.0,74,12,which,False,-0.03868151746173667,False
