question,answer_true,answer_model,confidence_verbalized,prob_all_tokens.n_tokens,prob_all_tokens.logprob_sum,prob_all_tokens.logprob_avg,prob_all_tokens.prob_joint,prob_all_tokens.prob_geo_mean,prob_all_tokens.perplexity,prob_all_tokens.p_min,prob_all_tokens.frac_p_gt_0_1,prob_all_tokens.frac_p_gt_0_01,prob_tokens_only.n_tokens,prob_tokens_only.logprob_sum,prob_tokens_only.logprob_avg,prob_tokens_only.prob_joint,prob_tokens_only.prob_geo_mean,prob_tokens_only.perplexity,prob_tokens_only.p_min,prob_tokens_only.frac_p_gt_0_1,prob_tokens_only.frac_p_gt_0_01,judge_confidence,abs_error,rel_error,log_error,qid,model_answer_raw,parse_error,model,logprobs_k,judge,is_correct,log1p_abs_error
How old was Laurel and Hardy producer Hal Roach when he died in 1992?,100.0,100.0,0.95,28.0,-0.2136711254626337,-0.007631111623665489,0.8076139450148655,0.9923979313848713,1.0076603027623408,0.8088426340035645,1.0,1.0,3.0,1.4631077e-06,4.877025666666667e-07,1.0,1.0,0.9999995122975522,0.9999972097614928,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
Which Apollo mission was filmed in 1995 with Tom Hanks?,13.0,13.0,0.95,27.0,-1.052633216399143,-0.03898641542219048,0.34901749943152827,0.96176377421245,1.0397563589030583,0.355921100678732,1.0,1.0,2.0,-0.0001331756379,-6.658781895e-05,0.9998668332295816,0.9999334143979696,1.000066590035968,0.9998660361239615,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In what year does Demolition Man take place?,2032.0,2032.0,0.95,29.0,-0.8002585435516779,-0.027595122191437168,0.449212808027318,0.9727821449829138,1.0279793941094224,0.4522541402350711,1.0,1.0,4.0,1.8114223600000001e-06,4.5285559000000004e-07,1.0,1.0,0.9999995471445126,0.999998896383309,1.0,1.0,0.1,0.0,0.0,0.0,,,,,,,1,0.0
How many different hats does Madonna wear in Evita?,39.0,85.0,0.75,27.0,-1.17344147741486,-0.04346079545980963,0.30930065629702136,0.9574700905298079,1.0444190475408568,0.46346491158620023,1.0,1.0,2.0,-0.2777586439718,-0.1388793219859,0.7574796217264239,0.8703330521854401,1.148985434356378,0.7574809881995331,1.0,1.0,0.7,46.0,1.1794871794871795,0.7654678421395711,,,,,,,0,3.8501476017100584
In what year was the Kellogg Company set up to manufacture cornflakes?,1906.0,1906.0,0.9,28.0,-0.47257591598117,-0.016877711285041785,0.6233943867245351,0.9832639193642484,1.0170209445360028,0.624194643853575,1.0,1.0,4.0,4.4731423e-06,1.118285575e-06,1.0,1.0,0.9999988817150502,1.0000003837049736,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
"To the nearest million, what was the population of the USA in 1910?",92.0,92000000.0,0.95,33.0,-0.20440204056591,-0.00619400122927,0.8151345881295604,0.9938251420514499,1.0062132237224388,0.8194665493468872,1.0,1.0,8.0,-5.260715542e-05,-6.5758944275e-06,0.9999473942283121,0.9999934241271936,1.0000065759160488,0.9999319459157843,1.0,1.0,0.95,91999908.0,999999.0,13.804699652729624,,,,,,,0,18.33729814588239
In what year did regular Boeing 707 flights begin across he Atlantic?,1958.0,1958.0,0.9,28.0,-0.6971198503884131,-0.024897137513871896,0.49801760539258466,0.9754102399905327,1.0252096594861522,0.49834849377362384,1.0,1.0,4.0,3.623776145e-06,9.0594403625e-07,1.0,1.0,0.9999990940563741,1.0000000596046468,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
In what year did the New York subway open?,1903.0,1904.0,0.99,29.0,-0.42784101431999,-0.014753138424827242,0.6519150517179267,0.9853551559073395,1.014862503133883,0.655514536383907,1.0,1.0,4.0,4.1967141e-06,1.049178525e-06,1.0,1.0,0.9999989508220254,0.9999968223324488,1.0,1.0,0.95,1.0,0.0005254860746190226,0.000525072209491384,,,,,,,0,0.6931471805599453
How many prisoners were left in Alcatraz just before it closed?,27.0,260.0,0.85,28.0,-1.8123193031113403,-0.06472568939683358,0.1632750130754015,0.937324546177147,1.0668663314947562,0.20144112981689638,1.0,1.0,3.0,-0.0674134458,-0.0224711486,0.9348086287275212,0.9777794470923267,1.0227255266755215,0.9398659558932633,1.0,1.0,0.85,233.0,8.62962962962963,2.23231589714749,,,,,,,0,5.455321115357702
The Fabulous Cullinan diamond was cut into how many separate gems?,105.0,105.0,0.95,28.0,-0.12119188519592,-0.00432828161414,0.8858639591037575,0.9956810718969828,1.0043376621539954,0.890257350668135,1.0,1.0,3.0,-0.0010190606444,-0.00033968688146666665,0.9989814584215636,0.99966037080559,1.0003397445815885,0.9989757775742113,1.0,1.0,0.6,0.0,0.0,0.0,,,,,,,1,0.0
Gunn-toting Wyatt Earp survived to what age?,80.0,80.0,0.95,27.0,-0.7839212423762499,-0.029034120088009256,0.456612009884098,0.9713833202167892,1.029459719132118,0.4580855600403615,1.0,1.0,2.0,-4.6556814e-05,-2.3278407e-05,0.9999534442697516,0.99997672186394,1.0000232786779442,0.9999637414773561,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
How many 'points for peace' did President Wilson announce in 1918?,14.0,14.0,0.99,27.0,-0.45540723738193,-0.01686693471784926,0.6341896496207998,0.983274515631039,1.0170099846005132,0.7129465687610025,1.0,1.0,2.0,5.9036538e-06,2.9518269e-06,1.0,1.0,0.9999970481774566,1.0000021820911809,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
How many races did Ed Moses win in succession between '77 and '87?,122.0,122.0,0.9,27.0,-0.12946032731016838,-0.0047948269374136435,0.8785694429378608,0.9952166498947979,1.0048063405146084,0.8813317087542983,1.0,1.0,3.0,-1.5238881819399999e-05,-5.079627273133333e-06,0.9999847612342918,0.9999949203856282,1.0000050796401745,0.9999841111812287,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In what year was indoor handball introduced as an Olympic event for men?,1972.0,1972.0,0.95,29.0,-0.25383677140959,-0.008752992117572068,0.7758184274600795,0.9912852037938551,1.0087914115663097,0.7763606823039836,1.0,1.0,4.0,4.59445067e-06,1.1486126675e-06,1.0,1.0,0.9999988513879922,0.9999976791467932,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
What year was the centenary of Colorado joining the Union?,1976.0,1976.0,0.95,29.0,-1.158478874562701,-0.039947547398713826,0.3139633955462537,0.9608398363794163,1.0407561823915887,0.3990790745093435,1.0,1.0,4.0,6.114131699999997e-07,1.5285329249999992e-07,1.0,1.0,0.9999998471467192,0.9999972805416978,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,1,0.0
How old was Dodi Fayed at the time of his death in 1997?,42.0,42.0,0.95,27.0,-0.08852502168842,-0.0032787045069785185,0.9152802085932772,0.9967266645751627,1.0032840853377114,0.9160694631958087,1.0,1.0,2.0,5.0290255e-06,2.51451275e-06,1.0,1.0,0.9999974854904113,1.0000014435510418,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
"To the nearest million, how mjch did Heavan's Gate lose for United Artists?",30.0,180000000.0,0.8,33.0,-1.19528035797238,-0.03622061690825394,0.30261910061056035,0.9644275009976708,1.0368845755285188,0.6386818729386395,1.0,1.0,9.0,-0.3063475622708,-0.03403861803008889,0.7361307237228822,0.9665341782707975,1.034624561119065,0.834530514784963,1.0,1.0,0.8,179999970.0,5999999.0,15.574480209924893,,,,,,,0,19.00846724774336
How old was Douglas Fairbanks when he married 23-year-old Joan Crawford?,19.0,44.0,0.9,26.0,-1.36406440878496,-0.05246401572249847,0.2556197197111899,0.9488884655073268,1.0538646388386081,0.49388276883860904,1.0,1.0,2.0,-0.76614997,-0.383074985,0.4647991184818096,0.6817617754625215,1.4667880130439683,0.49388276883860904,1.0,1.0,0.9,25.0,1.3157894736842106,0.8109302162163288,,,,,,,0,3.258096538021482
How old was Orson Welles when he made Citizen Kane?,25.0,25.0,0.95,27.0,-0.12167958852248999,-0.004506651426758888,0.8854320256402691,0.9955034882890087,1.004516821652448,0.8938436654156874,1.0,1.0,2.0,4.600035100000001e-06,2.3000175500000003e-06,1.0,1.0,0.999997699985095,1.0000013732360429,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
"When did Euro Disney, now Disneyland Paris, open?",1992.0,1992.0,0.95,29.0,-1.0509917598534,-0.03624109516735862,0.34959086694073543,0.964407751403637,1.036905809336933,0.3502712586363253,1.0,1.0,4.0,1.03900675e-05,2.597516875e-06,1.0,1.0,0.9999974024864985,1.0000014249245153,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
How many years did the Holocaust last?,12.0,12.0,0.95,27.0,-0.33612127452490004,-0.012448936093514816,0.7145364454933678,0.9876282313619204,1.0125267466494141,0.7153303178231253,1.0,1.0,2.0,-2.9264949400000002e-05,-1.4632474700000001e-05,0.9999707354788144,0.9999853676323541,1.0000146325817552,0.9999698069778185,1.0,1.0,0.1,0.0,0.0,0.0,,,,,,,1,0.0
"In square miles, how big is lake Superior?",31700.0,31700.0,0.9,29.0,-0.137607792416111,-0.004745096290210724,0.8714404102669342,0.9952661438935783,1.0047563720874724,0.8757852031466756,1.0,1.0,5.0,2.9415823999999996e-06,5.883164799999999e-07,1.0,1.0,0.9999994116836931,0.9999972973056522,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In what year was the first woman elected to the US Senate?,1922.0,1922.0,0.95,29.0,-0.36584027387560003,-0.01261518185777931,0.6936135805713971,0.9874640559988959,1.0126950889249564,0.6989159410417836,1.0,1.0,4.0,2.87289731e-06,7.182243275e-07,1.0,1.0,0.9999992817759304,1.0000005525072526,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
How many Gilbert & Sullivan operas are there?,13.0,14.0,0.95,27.0,-0.0891344563105,-0.003301276159648148,0.914722575083099,0.9967041670609873,1.003306731373193,0.9169924556204763,1.0,1.0,2.0,3.2633542999999998e-06,1.6316771499999999e-06,1.0,1.0,0.9999983683241812,1.0000005848707711,1.0,1.0,0.95,1.0,0.07692307692307693,0.06899287148695166,,,,,,,0,0.6931471805599453
In which year did Britain's lease on Hong Kong officially expire?,1997.0,1997.0,0.99,29.0,-0.39714923202985936,-0.013694801104477908,0.6722336993474024,0.9863985460746217,1.0137890044338622,0.6735570903887582,1.0,1.0,4.0,7.81670674e-06,1.954176685e-06,1.0,1.0,0.9999980458252244,1.0000006183983912,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
"Is the Great Wall of China 650, 1,450 or 2,050 miles long?",1450.0,1450.0,0.8,28.0,-1.11276157323475,-0.039741484758383926,0.32865011536859384,0.9610378499739362,1.0405417435193842,0.39469380180354097,1.0,1.0,4.0,-0.0388304348056,-0.0097076087014,0.9619138024194079,0.9903393580308644,1.0097548803758989,0.9619907891985016,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In which year were East and West Germany unified?,1990.0,1990.0,1.0,28.0,-1.0022212484866995,-0.035793616017382124,0.36706319639629703,0.9648394003342114,1.036441919405042,0.36824361594054644,1.0,1.0,4.0,3.3676625000000003e-06,8.419156250000001e-07,1.0,1.0,0.9999991580847294,0.9999969415413771,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
What year saw the nationalization of British Railways?,1948.0,1948.0,0.98,29.0,-1.31629589255071,-0.04538951353623138,0.26812663469584785,0.9556251803862565,1.0464353812818197,0.26926563390198416,1.0,1.0,4.0,9.934884e-07,2.483721e-07,1.0,1.0,0.9999997516279309,0.9999967552774641,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In which year did the Japanese attack Pearl Harbor?,1941.0,1941.0,1.0,28.0,-0.26587993476631,-0.009495711955939642,0.7665311557185559,0.9905492299525357,1.009540939270547,0.7767176185181857,1.0,1.0,4.0,3.5702251299999996e-06,8.925562824999999e-07,1.0,1.0,0.9999991074441158,0.999999650754091,1.0,1.0,0.99,0.0,0.0,0.0,,,,,,,1,0.0
In which year did the Korean War break out?,1950.0,1950.0,1.0,28.0,-0.83730402997086,-0.02990371535610214,0.43287597236330927,0.9705389770496431,1.0303553217820431,0.4342527939130935,1.0,1.0,4.0,5.82775106e-06,1.456937765e-06,1.0,1.0,0.9999985430632964,1.0000005490148107,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
"In which year was Ulster incorporated into the UK, under the Home Rule Act?",1920.0,1920.0,0.95,29.0,-1.2259686131721101,-0.04227477976455552,0.2934733005045317,0.9586063387558372,1.0431810844250071,0.32501524176942104,1.0,1.0,4.0,-0.008892316711720001,-0.0022230791779300004,0.9911471030057932,0.9977793900324966,1.00222555205057,0.9917837523931864,1.0,1.0,0.75,0.0,0.0,0.0,,,,,,,1,0.0
In what year did the Representation of the People Act give the vote to all women over 21?,1928.0,1928.0,0.99,29.0,-0.245936558597,-0.008480570986103449,0.7819718327420415,0.9915552876172808,1.0085166328980122,0.7842997166822769,1.0,1.0,4.0,3.71178613e-06,9.279465325e-07,1.0,1.0,0.999999072053898,1.000000672415126,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
How old must you be to vote in a British parliamentary election?,18.0,18.0,1.0,26.0,-0.031568411302759995,-0.001214169665490769,0.9689246687874847,0.9987865671402649,1.0012149070678928,0.9784751123118757,1.0,1.0,2.0,3.7262216e-06,1.8631108e-06,1.0,1.0,0.9999981368909356,1.0000005075709288,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
In which year did Mikhail Gorbachev resign as Soviet president?,1991.0,1991.0,0.99,29.0,-0.0277624671508,-0.0009573264534758621,0.9726193684146917,0.999043131637301,1.0009577848367075,0.98560755682413,1.0,1.0,4.0,-2.9238873e-06,-7.30971825e-07,0.9999970761169745,0.9999992690284422,1.0000007309720922,0.9999968502719604,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
How many countries are there in the British Commonwealth?,50.0,56.0,0.95,27.0,-0.056977102573815004,-0.0021102630582894447,0.944615698387125,0.9978919619813833,1.0021124912304444,0.9454317476540353,1.0,1.0,2.0,-0.00074460173,-0.000372300865,0.9992556754170758,0.9996277684303672,1.0003723701775684,0.9992520515529921,1.0,1.0,0.95,6.0,0.12,0.11122563511022454,,,,,,,0,1.9459101490553132
When was the first Pioneer space probe launched?,1958.0,1958.0,0.95,29.0,-0.49248029166185003,-0.016982079022822415,0.6111087848819489,0.9831613036883191,1.017127094250466,0.6285912968535452,1.0,1.0,4.0,-4.901086999999999e-07,-1.2252717499999997e-07,0.9999995098914201,0.9999998774728325,1.0000001225271824,0.9999919531723759,1.0,1.0,0.9,0.0,0.0,0.0,,,,,,,1,0.0
After how many years of marriage would you celebrate your ruby anniversary?,40.0,40.0,1.0,26.0,-0.057960743804235396,-0.002229259377085977,0.9436869922709832,0.9977732235762075,1.0022317460232208,0.9456232737059437,1.0,1.0,2.0,1.66846436e-06,8.3423218e-07,1.0,1.0,0.9999991657681679,1.0000005345793028,1.0,1.0,0.95,0.0,0.0,0.0,,,,,,,1,0.0
