confidence_col,error_col,n_all,pearson_all,spearman_all,n_wrong_only,pearson_wrong_only,spearman_wrong_only,score_type,expected_direction,effect_all,effect_wrong_only,direction_all,direction_wrong_only,interpretation_all,interpretation_wrong_only
prob_all_tokens.p_min,log_error,3395,-0.0313325179949471,-0.1189919843086507,463,0.0090116038127618,0.0382755566492083,sequence_probability,negative,faible,quasi nul,sens attendu,sens opposé,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul mais dans le sens opposé à celui attendu."
prob_all_tokens.p_min,rel_error,3395,-0.0140234744101519,-0.1157864294002044,463,-0.0162704441037915,0.0531147531885374,sequence_probability,negative,faible,très faible,sens attendu,sens opposé,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien très faible mais dans le sens opposé à celui attendu."
prob_all_tokens.perplexity,abs_error,3395,0.0172445910903405,0.1568575145031675,463,0.0032640161206068,0.0472827267680267,sequence_uncertainty,positive,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_all_tokens.perplexity,log1p_abs_error,3395,0.1564184726238003,0.1568575145031675,463,0.0087860663694435,0.0472827267680267,sequence_uncertainty,positive,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_all_tokens.perplexity,log_error,3395,0.0620047387721123,0.1589930143588418,463,8.906797185771948e-05,0.0399895670636086,sequence_uncertainty,positive,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_all_tokens.perplexity,rel_error,3395,0.0205032733273227,0.1555582092491495,463,0.0106305835946106,0.0215794817097725,sequence_uncertainty,positive,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_all_tokens.prob_geo_mean,abs_error,3395,-0.0189705708930825,-0.1568575145031675,463,-0.0068413012673981,-0.0472827267680267,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.prob_geo_mean,log1p_abs_error,3395,-0.1569382968051985,-0.1568575145031675,463,-0.0151017389670577,-0.0472827267680267,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.prob_geo_mean,log_error,3395,-0.0646486481877828,-0.1589930143588418,463,-0.0061344117848023,-0.0399895670636086,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.prob_geo_mean,rel_error,3395,-0.0224650215271942,-0.1555582092491495,463,-0.0152334578391893,-0.0215794817097725,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.prob_joint,abs_error,3395,-0.0308632879756472,-0.1528965010165154,463,-0.0474883194535981,-0.0436053735402911,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.prob_joint,log1p_abs_error,3395,-0.135008086280541,-0.1528965010165154,463,-0.0612549019972784,-0.0436053735402911,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.prob_joint,log_error,3395,-0.0639478957195826,-0.1545787057186447,463,-0.0416474179262585,-0.0212241812660316,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_all_tokens.prob_joint,rel_error,3395,-0.035081538201478,-0.1511677681063874,463,-0.0605397031022586,-0.0032464316454498,sequence_probability,negative,faible,quasi nul,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien quasi nul avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_avg,abs_error,3395,-0.0021665409668844,-0.4256412639319072,463,0.023010081682346,-0.1460244747444011,token_logscore,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_avg,log1p_abs_error,3395,-0.2306500858989879,-0.4256412639319072,463,-0.0039877436458991,-0.1460244747444011,token_logscore,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_avg,log_error,3395,-0.1035899369582027,-0.4266088651365919,463,-0.0128027139386905,-0.2140418971596527,token_logscore,negative,modéré,faible à modéré,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_avg,rel_error,3395,-0.0029631207258032,-0.4253259870206079,463,0.0198475342049575,-0.1924297848847928,token_logscore,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_sum,abs_error,3395,-0.0141861417512614,-0.4255533071595893,463,0.0052451730696973,-0.1526429154170084,token_logscore,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_sum,log1p_abs_error,3395,-0.1925636704451867,-0.4255533071595893,463,-0.0035160318031686,-0.1526429154170084,token_logscore,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_sum,log_error,3395,-0.0773159464683991,-0.4267684682140484,463,-5.5752420995557715e-05,-0.1857364222611227,token_logscore,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.logprob_sum,rel_error,3395,-0.0155659058354641,-0.4256155311507409,463,0.0018762045369818,-0.165006012658041,token_logscore,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.p_min,abs_error,3395,-0.0256166313794855,-0.4149005307398674,463,0.0003836399689437,-0.1329086452851364,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.p_min,log1p_abs_error,3395,-0.2772123772500564,-0.4149005307398674,463,-0.0321315962773864,-0.1329086452851364,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.p_min,log_error,3395,-0.1296880831512969,-0.4154515286949825,463,-0.0326857865756561,-0.1588814578304477,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.p_min,rel_error,3395,-0.0279403244777163,-0.4138477064938228,463,-0.0056300143678435,-0.1383559338826334,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.perplexity,abs_error,3395,-0.0001833229934134,0.4256412639971715,463,-0.0180363308162356,0.1460244747444011,token_uncertainty,positive,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_tokens_only.perplexity,log1p_abs_error,3395,0.1706707859021151,0.4256412639971715,463,0.0005086541494571,0.1460244747444011,token_uncertainty,positive,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_tokens_only.perplexity,log_error,3395,0.0700578797406736,0.4266088652020047,463,0.0010040192303997,0.2140418971596527,token_uncertainty,positive,modéré,faible à modéré,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien faible à modéré avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_tokens_only.perplexity,rel_error,3395,0.000277890765553,0.4253259870858239,463,-0.0159570355922593,0.1924297848847928,token_uncertainty,positive,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : une perplexité plus élevée est associée à des erreurs plus importantes."
prob_tokens_only.prob_geo_mean,abs_error,3395,-0.0051496843910976,-0.4931175155486176,463,0.0240381753187906,-0.1499645286796531,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.prob_geo_mean,log1p_abs_error,3395,-0.2621313372787021,-0.4931175155486176,463,-0.0102251259361583,-0.1499645286796531,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.prob_geo_mean,log_error,3395,-0.1232248471391551,-0.4955396026654195,463,-0.0237118315805903,-0.222228890586651,token_probability,negative,modéré,faible à modéré,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible à modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.prob_geo_mean,rel_error,3395,-0.0062309010162669,-0.4929539831711922,463,0.0200741867733316,-0.1988072487711864,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.prob_joint,abs_error,3395,-0.0423012686832706,-0.4925270579388355,463,-0.0203817759136118,-0.1520144430903283,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.prob_joint,log1p_abs_error,3395,-0.2940009351360281,-0.4925270579388355,463,-0.051953390681734,-0.1520144430903283,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.prob_joint,log_error,3395,-0.1411040155195645,-0.494482840932625,463,-0.0445342152424896,-0.1802999358541489,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
prob_tokens_only.prob_joint,rel_error,3395,-0.0455660743330823,-0.4919141542888368,463,-0.027630207822183,-0.1583736666284649,token_probability,negative,modéré,faible,sens attendu,sens attendu,"Sur l’ensemble des réponses, le score présente un lien modéré avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte.","Parmi les réponses fausses uniquement, le score présente un lien faible avec la distance à la vérité : les réponses associées à une confiance plus élevée tendent à être plus proches de la valeur correcte."
